"","birthState","Year","birthCountry","HR","salary","Player","State"
"1","",1987,"P.R.",0,0,"Orlando Mercado",NA
"2","",2003,"Aruba",1,340000,"Gene Kingsale",NA
"3","",2002,"P.R.",1,0,"Ivan Cruz",NA
"4","",1988,"P.R.",0,170000,"Jose Guzman",NA
"5","",1990,"P.R.",4,1e+05,"Juan Gonzalez",NA
"6","",1994,"P.R.",1,0,"Omar Olivares",NA
"7","",1996,"P.R.",17,550000,"Leo Gomez",NA
"8","",2006,"P.R.",1,7e+05,"Ramon Vazquez",NA
"9","",2004,"P.R.",0,0,"Fernando Cabrera",NA
"10","",1999,"P.R.",9,202850,"Ricky Ledee",NA
"11","",1998,"P.R.",6,750000,"Luis Alicea",NA
"12","",2004,"P.R.",0,820000,"J. C. Romero",NA
"13","",2007,"P.R.",24,14500000,"Carlos Delgado",NA
"14","",2003,"P.R.",5,7e+05,"Sandy Alomar",NA
"15","",1991,"P.R.",0,120000,"Omar Olivares",NA
"16","",2006,"P.R.",6,0,"Mike Rivera",NA
"17","",1998,"P.R.",2,0,"Armando Rios",NA
"18","",1999,"P.R.",39,8500000,"Juan Gonzalez",NA
"19","",1999,"P.R.",35,8950000,"Ivan Rodriguez",NA
"20","",1986,"P.R.",10,755000,"Jose Cruz",NA
"21","",1997,"P.R.",0,0,"Luis Rivera",NA
"22","",1999,"P.R.",8,5e+05,"Wil Cordero",NA
"23","",2015,"P.R.",0,509525,"Christian Colon",NA
"24","",1998,"P.R.",0,222500,"Jose Vidro",NA
"25","",1997,"P.R.",0,0,"Jose Santiago",NA
"26","",2016,"Aruba",21,650000,"Xander Bogaerts",NA
"27","",2012,"Germany",0,2500000,"Will Ohman",NA
"28","",2005,"P.R.",0,6e+05,"Juan Gonzalez",NA
"29","",2006,"P.R.",11,2700000,"Felipe Lopez",NA
"30","",1995,"P.R.",13,5500000,"Roberto Alomar",NA
"31","",2000,"P.R.",14,210000,"Bengie Molina",NA
"32","",1989,"P.R.",0,77500,"Joey Cora",NA
"33","",1989,"P.R.",1,0,"Sandy Alomar",NA
"34","",2008,"Taiwan",0,4e+06,"Chien-Ming Wang",NA
"35","",2002,"P.R.",7,2500000,"Sandy Alomar",NA
"36","",2009,"Taiwan",0,0,"Fu-Te Ni",NA
"37","",2001,"P.R.",1,217000,"Javier Cardona",NA
"38","",1990,"P.R.",0,108000,"Mario Diaz",NA
"39","",2004,"P.R.",30,5e+06,"Jose Valentin",NA
"40","",2009,"P.R.",11,575000,"Geovany Soto",NA
"41","",2008,"P.R.",1,0,"Raul Casanova",NA
"42","",2003,"P.R.",5,8e+06,"Roberto Alomar",NA
"43","",2009,"P.R.",1,0,"Edwin Maysonet",NA
"44","",2016,"Cuba",0,3214285,"Raisel Iglesias",NA
"45","",1991,"P.R.",0,1e+05,"Roberto Hernandez",NA
"46","",1989,"P.R.",0,68000,"Luis Aquino",NA
