"","Year","teamID","Player","Salary"
"1",2002,"CHA","Josh Paul",0
"2",1998,"MIN","A. J. Pierzynski",0
"3",1998,"MIN","Ron Coomer",325000
"4",2008,"DET","Jacque Jones",6333333
"5",1998,"MIN","Eddie Guardado",650000
"6",1997,"PIT","Jon Lieber",335000
"7",2003,"DET","Gene Kingsale",340000
"8",2002,"CHA","Jim Parque",0
"9",1997,"PIT","Adrian Brown",0
"10",2002,"SLN","Ivan Cruz",0
"11",2002,"CHA","Joe Crede",0
"12",2005,"MIL","Victor Santos",420000
"13",2002,"CHA","Tony Graffanino",575000
"14",2002,"CHA","D'Angelo Jimenez",240000
"15",2000,"CHA","James Baldwin",3300000
"16",2010,"PIT","Erik Kratz",0
"17",2011,"MIN","Carl Pavano",8e+06
"18",1997,"PIT","Chris Peters",0
"19",2000,"CHA","Mike Sirotka",1400000
"20",2002,"CHA","Kelly Wunsch",285000
"21",2000,"SLN","Rick Wilkins",0
"22",2000,"DET","Jeff Weaver",0
"23",2002,"CHA","Aaron Rowand",225000
"24",2002,"CHA","Gary Glover",240000
"25",1998,"DET","Robert Fick",0
"26",2008,"DET","Jeff Larish",0
"27",2010,"MIL","Chris Narveson",406500
"28",1998,"MIN","Todd Walker",175000
"29",2000,"CHA","Bob Howry",325000
"30",1996,"PIT","Rich Loiselle",0
"31",1997,"ML4","Alberto Reyes",153000
"32",2014,"MIN","Eduardo Nunez",0
"33",2008,"KCA","Billy Butler",399000
"34",2014,"MIN","Joe Mauer",2.3e+07
"35",2006,"CIN","Kyle Lohse",3950000
"36",1997,"PIT","Kevin Polcovich",150000
"37",2003,"DET","Nate Robertson",0
"38",2002,"CLE","Ricardo Rincon",1500000
"39",2009,"SLN","Kyle Lohse",7437500
"40",2012,"DET","Gerald Laird",1e+06
"41",2010,"MIL","Brandon Kintzler",0
"42",1997,"HOU","Craig Biggio",6280000
"43",1998,"DET","Juan Encarnacion",170000
"44",1998,"MIN","Matt Lawton",215000
"45",2010,"MIL","Prince Fielder",1.1e+07
"46",2014,"MIN","Yohan Pino",0
"47",2002,"CLE","Chris Magruder",0
"48",2000,"DET","Eric Munson",0
"49",1998,"MIN","David Ortiz",170000
"50",2000,"CHA","Keith Foulke",375000
"51",2008,"DET","Brandon Inge",6200000
"52",2002,"CLE","Jerrod Riggan",218000
"53",1999,"CLE","Jacob Cruz",205000
"54",1998,"MIN","Paul Molitor",4250000
"55",2010,"MIL","John Axford",0
"56",2014,"KCA","Lorenzo Cain",546000
"57",2000,"CHA","Tony Graffanino",270000
"58",2012,"DET","Octavio Dotel",3e+06
"59",2010,"KCA","Kila Ka'aihue",0
"60",2012,"DET","Miguel Cabrera",2.1e+07
"61",2011,"MIN","Francisco Liriano",4300000
"62",2004,"MIN","J. C. Romero",820000
"63",2003,"DET","Gary Knotts",305000
"64",1998,"MIN","Scott Stahoviak",0
"65",1999,"CHA","Todd Rizzo",0
"66",2008,"DET","Denny Bautista",395000
"67",2011,"MIN","Drew Butera",429000
"68",2003,"CHA","Sandy Alomar",7e+05
"69",1995,"MIN","Kirby Puckett",6300000
"70",2010,"MIL","Carlos Villanueva",950000
"71",2005,"CHA","Bobby Jenks",0
"72",1999,"CHA","Jeff Liefer",2e+05
"73",2003,"CHA","Rick White",6e+05
"74",2014,"MIN","Mike Pelfrey",0
"75",1998,"DET","Jason Wood",170000
"76",2014,"KCA","Donnie Joseph",0
"77",2012,"DET","Adam Wilk",0
"78",2000,"CHA","Matt Ginter",0
"79",1997,"HOU","Ramon Garcia",160000
"80",2001,"MIN","Brad Thomas",0
"81",2008,"DET","Edgar Renteria",1e+07
"82",2001,"CLE","Travis Fryman",5750000
"83",2014,"MIN","Glen Perkins",4025000
"84",1999,"CLE","Tom Candiotti",3e+06
"85",1999,"CLE","Jolbert Cabrera",203000
"86",2014,"SLN","Adam Wainwright",19500000
"87",2006,"CIN","Sun-Woo Kim",6e+05
"88",2005,"MIL","Gary Glover",390000
"89",2004,"MIN","Corey Koskie",4500000
"90",2003,"DET","A. J. Hinch",0
"91",2002,"SLN","Andy Benes",6367542
"92",2013,"CLE","Joe Smith",3150000
"93",1994,"CLE","Charles Nagy",1241667
"94",1998,"MIN","Terry Steinbach",2850000
"95",1994,"CHA","Warren Newson",175000
"96",1998,"MIN","Travis Baptist",170000
"97",2001,"MIN","Grant Balfour",0
"98",2011,"MIN","Denard Span",1e+06
"99",2008,"DET","Curtis Granderson",1e+06
"100",1997,"PIT","Dale Sveum",4e+05
"101",2013,"CLE","Matt Albers",1750000
"102",2016,"PIT","Juan Nicasio",3e+06
"103",2001,"MIN","Juan Rincon",0
