"","Year","State","birthState","Count","Salary","HR"
"1",1985,"alabama","AL",26,9453357,67
"2",1985,"alaska","AK",1,0,0
"3",1985,"arizona","AZ",7,1689333,20
"4",1985,"arkansas","AR",6,737500,35
"5",1985,"california","CA",208,54726142,872
"6",1985,"colorado","CO",8,2153333,5
"7",1985,"connecticut","CT",6,655000,11
"8",1985,"delaware","DE",2,120000,10
"9",1985,"district of columbia","DC",3,0,12
"10",1985,"florida","FL",37,9419933,210
"11",1985,"georgia","GA",17,3555833,82
"12",1985,"hawaii","HI",8,1596667,5
"13",1985,"idaho","ID",4,821500,10
"14",1985,"illinois","IL",37,9650500,199
"15",1985,"indiana","IN",7,2888750,93
"16",1985,"iowa","IA",4,1195000,8
"17",1985,"kansas","KS",9,3788334,45
"18",1985,"kentucky","KY",10,1990000,16
"19",1985,"louisiana","LA",9,2320000,2
"20",1985,"maine","ME",4,1170000,0
"21",1985,"maryland","MD",12,2921667,61
"22",1985,"massachusetts","MA",12,2392500,83
"23",1985,"michigan","MI",30,8468583,81
"24",1985,"minnesota","MN",9,5860704,57
"25",1985,"mississippi","MS",12,2612500,102
"26",1985,"missouri","MO",17,4659667,29
"27",1985,"montana","MT",2,0,1
"28",1985,"nebraska","NE",3,1e+06,8
"29",1985,"new hampshire","NH",3,641667,0
"30",1985,"new jersey","NJ",19,2856667,19
"31",1985,"new mexico","NM",1,0,0
"32",1985,"new york","NY",47,7880762,55
"33",1985,"north carolina","NC",11,816250,10
"34",1985,"ohio","OH",48,18220741,169
"35",1985,"oklahoma","OK",17,4467583,55
"36",1985,"oregon","OR",10,3713000,89
"37",1985,"pennsylvania","PA",38,12955025,174
"38",1985,"rhode island","RI",2,745000,17
"39",1985,"south carolina","SC",13,4538394,85
"40",1985,"south dakota","SD",4,2244583,6
"41",1985,"tennessee","TN",10,4201500,48
"42",1985,"texas","TX",57,18913922,190
"43",1985,"utah","UT",1,3e+05,0
"44",1985,"vermont","VT",3,685000,37
"45",1985,"virginia","VA",17,2925666,33
"46",1985,"washington","WA",9,2780000,62
"47",1985,"west virginia","WV",4,2150000,39
"48",1985,"wisconsin","WI",5,1387500,5
"49",1985,"wyoming","WY",3,450000,0
"50",1986,"alabama","AL",22,11499167,63
"51",1986,"alaska","AK",1,60000,7
"52",1986,"arizona","AZ",8,1871706,21
"53",1986,"arkansas","AR",4,1077500,47
"54",1986,"california","CA",224,67134338,963
"55",1986,"colorado","CO",8,1618839,0
"56",1986,"connecticut","CT",5,590000,8
"57",1986,"delaware","DE",2,3e+05,8
"58",1986,"district of columbia","DC",2,95000,6
"59",1986,"florida","FL",42,12405452,240
"60",1986,"georgia","GA",16,4031283,110
"61",1986,"hawaii","HI",7,1675000,0
"62",1986,"idaho","ID",4,1450000,5
"63",1986,"illinois","IL",38,14136795,263
"64",1986,"indiana","IN",11,4470000,69
"65",1986,"iowa","IA",2,992500,10
"66",1986,"kansas","KS",9,5026000,48
"67",1986,"kentucky","KY",9,1665000,12
"68",1986,"louisiana","LA",10,2597000,16
"69",1986,"maine","ME",4,1433100,0
