"","teamID","Year","Team","TeamName","Wins","Attendance","Salary"
"1","ANA",1997,"ANA","Anaheim Angels",84,1767330,42348972
"2","ANA",1998,"ANA","Anaheim Angels",85,2519280,52133500
"3","ANA",1999,"ANA","Anaheim Angels",70,2253123,53688166
"4","ANA",2000,"ANA","Anaheim Angels",82,2066982,63330834
"5","ANA",2001,"ANA","Anaheim Angels",75,2000919,33778500
"6","ANA",2002,"ANA","Anaheim Angels",99,2305547,64271667
"7","ANA",2003,"ANA","Anaheim Angels",77,3061094,79364167
"8","ANA",2004,"ANA","Anaheim Angels",92,3375677,101383167
"9","ARI",1998,"ARI","Arizona Diamondbacks",65,3610290,38305000
"10","ARI",1999,"ARI","Arizona Diamondbacks",100,3019654,73390999
"11","ARI",2000,"ARI","Arizona Diamondbacks",85,2942251,87662833
"12","ARI",2001,"ARI","Arizona Diamondbacks",92,2736451,80872999
"13","ARI",2002,"ARI","Arizona Diamondbacks",98,3198977,105344999
"14","ARI",2003,"ARI","Arizona Diamondbacks",84,2805542,94664500
"15","ARI",2004,"ARI","Arizona Diamondbacks",51,2519560,72015750
"16","ARI",2005,"ARI","Arizona Diamondbacks",77,2059424,67307166
"17","ARI",2006,"ARI","Arizona Diamondbacks",76,2091685,70209226
"18","ARI",2007,"ARI","Arizona Diamondbacks",90,2325249,65867546
"19","ARI",2008,"ARI","Arizona Diamondbacks",82,2509924,86422712
"20","ARI",2009,"ARI","Arizona Diamondbacks",70,2128765,76148166
"21","ARI",2010,"ARI","Arizona Diamondbacks",65,2056941,71368166
"22","ARI",2011,"ARI","Arizona Diamondbacks",94,2105432,73889833
"23","ARI",2012,"ARI","Arizona Diamondbacks",81,2177617,78974833
"24","ARI",2013,"ARI","Arizona Diamondbacks",81,2134795,91482000
"25","ARI",2014,"ARI","Arizona Diamondbacks",64,2073730,98363500
"26","ARI",2015,"ARI","Arizona Diamondbacks",79,2080145,64441500
"27","ARI",2016,"ARI","Arizona Diamondbacks",69,2036216,87439063
"28","ATL",1985,"ATL","Atlanta Braves",66,1350137,14032000
"29","ATL",1986,"ATL","Atlanta Braves",72,1387181,17872786
"30","ATL",1987,"ATL","Atlanta Braves",69,1217402,13278667
"31","ATL",1988,"ATL","Atlanta Braves",54,848089,13489007
"32","ATL",1989,"ATL","Atlanta Braves",63,984930,9650167
"33","ATL",1990,"ATL","Atlanta Braves",65,980129,14273334
"34","ATL",1991,"ATL","Atlanta Braves",94,2140217,18453500
"35","ATL",1992,"ATL","Atlanta Braves",98,3077400,38733667
"36","ATL",1993,"ATL","Atlanta Braves",104,3884720,45827417
"37","ATL",1994,"ATL","Atlanta Braves",68,2539240,46907846
"38","ATL",1995,"ATL","Atlanta Braves",90,2561831,50670445
"39","ATL",1996,"ATL","Atlanta Braves",96,2901242,55097500
"40","ATL",1997,"ATL","Atlanta Braves",101,3464488,53178500
"41","ATL",1998,"ATL","Atlanta Braves",106,3360860,62488500
"42","ATL",1999,"ATL","Atlanta Braves",103,3284897,75800000
"43","ATL",2000,"ATL","Atlanta Braves",95,3234304,89289625
"44","ATL",2001,"ATL","Atlanta Braves",88,2823530,101391666
"45","ATL",2002,"ATL","Atlanta Braves",101,2603484,90960367
"46","ATL",2003,"ATL","Atlanta Braves",101,2401084,104518667
"47","ATL",2004,"ATL","Atlanta Braves",96,2327565,91582500
"48","ATL",2005,"ATL","Atlanta Braves",90,2521167,90494802
